feature,launch_mean,control_mean,launch_median,control_median,cohens_d,n_launch,n_control
rsi14,40.68362384062748,51.65283472713248,41.17993013977877,51.51855155373834,-0.8758482586860735,6909,644203
pct_above_sma50,-0.06718377054664876,0.017917445249399075,-0.04508096096488473,0.01165254237288127,-0.7075812144410705,6756,629305
higher_low_count_10,4.186210875522861,5.1992079269188824,4.0,5.0,-0.6208815537812953,6933,646405
dist_from_252d_high,-0.3033804483091475,-0.21485603394001068,-0.27489280609814204,-0.1795366795366795,-0.514450329377484,5911,543871
atr_pct,0.04748860726582998,0.03761611003911641,0.041242918720423564,0.03473236798062162,0.4760656495236909,6911,644695
pct_above_sma200,-0.029732625103717648,0.06450893317276347,-0.03142360297489738,0.03801526679376477,-0.3758485974440875,6104,565657
range_compression_20,0.23829314195257334,0.17856359720343945,0.1754661623822148,0.15254759712356397,0.34043943003536375,6894,642118
sma50_rising,0.46353944562899785,0.5438929448621747,0.0,1.0,-0.1612270249721675,7035,650207
vol_ratio_5_20,0.9454385187692986,1.0093041751073368,0.8752229734833639,0.9197428712407183,-0.14419762972921163,6894,642118
narrow_range_count_10,5.0135583441511615,4.9449091513834205,5.0,5.0,0.0318077089814246,6933,646405
adx14,26.359909904473,26.156124153480754,23.842767474407903,23.942158153382845,0.01854485712851042,6851,639137
ret_5,-0.05408782586723212,inf,-0.03990055935363579,0.0013515796973045946,,6947,648122
ret_10,-0.06886389573577947,inf,-0.047339693483846035,0.004190844616376532,,6930,645975
ret_20,-0.07306227273074711,inf,-0.0515156951739873,0.01022804222499818,,6886,641694
rs_20,-0.06001629060405414,inf,-0.051847856887592525,-0.0022906941561564587,,6873,639367
rs_50,0.032384473778868425,inf,-0.049322595255062884,-0.0028984255606504528,,6742,626548
