strategy,trades,long,short,full_CAGR,full_Sharpe,full_MaxDD,train_CAGR,train_Sharpe,"test_CAGR (out-of-sample, what matters most)",test_Sharpe,test_MaxDD,CAGR_at_2x_costs
opening_range_breakout,98019,48875,49144,-40.55%,-16.75,-24.62%,-40.41%,-13.98,-42.01%,-29.82,-10.55%,-63.26%
opening_range_breakout (long only),48875,48875,0,-45.91%,-10.85,-28.87%,-43.41%,-9.24,-51.01%,-14.38,-12.91%,-66.59%
opening_range_breakout (short only),49144,0,49144,-52.51%,-10.88,-32.74%,-57.69%,-11.04,-44.36%,-12.03,-11.58%,-70.60%
vwap_mean_reversion,280402,151974,128428,-38.56%,-52.45,-23.00%,-38.90%,-45.39,-39.22%,-84.26,-9.42%,-61.98%
vwap_mean_reversion (long only),151974,151974,0,-35.38%,-21.95,-21.07%,-33.12%,-18.51,-39.98%,-30.21,-9.58%,-60.10%
vwap_mean_reversion (short only),128428,0,128428,-34.40%,-21.84,-20.07%,-36.03%,-21.20,-32.81%,-24.48,-7.81%,-59.29%
momentum_volume_breakout,45223,24766,20457,-46.51%,-27.49,-28.80%,-46.88%,-24.45,-47.26%,-37.34,-12.06%,-67.57%
momentum_volume_breakout (long only),24766,24766,0,-50.47%,-13.43,-32.02%,-48.31%,-12.60,-55.12%,-14.65,-14.17%,-69.95%
momentum_volume_breakout (short only),20457,0,20457,-56.56%,-15.52,-35.89%,-60.86%,-15.66,-50.20%,-17.02,-13.36%,-73.74%
failed_breakout_short,36427,0,36427,-34.85%,-5.85,-19.86%,-39.71%,-6.36,-27.33%,-4.99,-6.82%,-59.53%
