trigger,filters,stop_atr,target_atr,val_trades,val_CAGR,val_Sharpe,val_MaxDD
rsi_reversal,none,1.5,3.0,252,-18.84%,-3.73,-3.44%
rsi_reversal,trend,1.5,3.0,252,-15.63%,-3.53,-3.08%
rsi_reversal,none,1.0,2.0,252,-27.58%,-8.43,-5.19%
rsi_reversal,trend,1.0,2.0,252,-25.30%,-7.51,-4.69%
rsi_reversal,volume,1.5,3.0,252,-11.97%,-2.17,-2.71%
rsi_reversal,volume,1.0,2.0,252,-20.76%,-5.13,-3.70%
rsi_reversal,rsi_bias,1.0,2.0,172,-24.11%,-5.18,-4.87%
rsi_reversal,rsi_bias,1.5,3.0,171,-8.65%,-1.31,-3.50%
rsi_reversal,trend+volume,1.5,3.0,252,-15.21%,-2.81,-3.03%
rsi_reversal,vwap_alignment,1.5,3.0,250,-4.51%,-0.64,-1.52%
rsi_reversal,trend+volume,1.0,2.0,252,-26.96%,-8.10,-5.01%
rsi_reversal,vwap_alignment,1.0,2.0,252,-24.52%,-6.96,-4.54%
rsi_reversal,trend+rsi_bias,1.5,3.0,162,-2.93%,-0.37,-3.60%
rsi_reversal,trend+rsi_bias,1.0,2.0,162,-18.56%,-3.58,-5.04%
rsi_reversal,trend+vwap_alignment,1.5,3.0,250,-7.76%,-1.20,-2.29%
rsi_reversal,trend+vwap_alignment,1.0,2.0,252,-28.01%,-8.04,-5.27%
rsi_reversal,volume+rsi_bias,1.5,3.0,146,-9.43%,-1.34,-5.00%
rsi_reversal,volume+rsi_bias,1.0,2.0,147,-19.40%,-3.74,-5.73%
rsi_reversal,volume+vwap_alignment,1.5,3.0,249,-12.69%,-2.09,-2.17%
rsi_reversal,volume+vwap_alignment,1.0,2.0,252,-20.39%,-5.16,-3.79%
rsi_reversal,rsi_bias+vwap_alignment,1.0,2.0,140,-23.37%,-4.31,-4.59%
macd_cross,none,1.5,3.0,252,-5.07%,-0.98,-2.93%
rsi_reversal,rsi_bias+vwap_alignment,1.5,3.0,140,-11.30%,-1.46,-4.61%
macd_cross,none,1.0,2.0,252,-9.36%,-3.29,-1.84%
macd_cross,trend,1.5,3.0,252,-11.83%,-2.32,-3.70%
macd_cross,trend,1.0,2.0,252,-14.34%,-5.14,-2.72%
