tradingsymbol,name,industry,instrument_token,avg_turnover,liquidity_rank
HDFCBANK,HDFC Bank Ltd.,Financial Services,341249,26766725907.636665,1
ICICIBANK,ICICI Bank Ltd.,Financial Services,1270529,19004624306.863335,2
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,738561,18314878738.181667,3
INFY,Infosys Ltd.,Information Technology,408065,15987270119.045,4
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,2714625,14190534199.496668,5
BSE,BSE Ltd.,Financial Services,5013761,13085750598.351665,6
SBIN,State Bank of India,Financial Services,779521,12525213347.075832,7
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,756481,11959435936.994999,8
TCS,Tata Consultancy Services Ltd.,Information Technology,2953217,11082622881.656668,9
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,81153,9949835320.789167,10
AXISBANK,Axis Bank Ltd.,Financial Services,1510401,9207282137.738335,11
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,519937,9056349306.55,12
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,7982337,8912142520.683332,13
ETERNAL,Eternal Ltd.,Consumer Services,1304833,8854162563.015333,14
NETWEB,Netweb Technologies India Ltd.,Information Technology,4462849,8367978726.631666,15
LT,Larsen & Toubro Ltd.,Construction,2939649,7871810912.266666,16
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,3669505,7554251541.634167,17
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,5552641,7086929169.533334,18
ADANIPOWER,Adani Power Ltd.,Power,4451329,6856640484.6189995,19
IDEA,Vodafone Idea Ltd.,Telecommunication,3677697,6789888802.791834,20
HFCL,HFCL Ltd.,Telecommunication,5619457,6624415135.991,21
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,2815745,6390293471.1,22
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,194510337,6289026682.953,23
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,348929,6122384024.571668,24
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,4724993,5999631673.583333,25
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,492033,5857213510.9675,26
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,1102337,5788536255.265833,27
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,193957121,5731565039.825834,28
VEDL,Vedanta Ltd.,Metals & Mining,784129,5655526939.2375,29
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,6401,5550424545.318334,30
