Company Name,Industry,Symbol,Series,ISIN Code,YF_Symbol
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,360ONE.NS
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,3MINDIA.NS
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,ABB.NS
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,ACC.NS
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025,ACMESOLAR.NS
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,AIAENG.NS
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,APLAPOLLO.NS
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,AUBANK.NS
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,AWL.NS
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,AADHARHFC.NS
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,AARTIIND.NS
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,AAVAS.NS
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,ABBOTINDIA.NS
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025,ACE.NS
Acutaas Chemicals Ltd.,Healthcare,ACUTAAS,EQ,INE00FF01025,ACUTAAS.NS
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,ADANIENSOL.NS
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,ADANIENT.NS
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,ADANIPORTS.NS
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,ADANIPOWER.NS
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,ATGL.NS
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,ABFRL.NS
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019,ABLBL.NS
Aditya Birla Real Estate Ltd.,Realty,ABREL,EQ,INE055A01016,ABREL.NS
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,ABSLAMC.NS
Aditya Infotech Ltd.,Capital Goods,CPPLUS,EQ,INE819V01029,CPPLUS.NS
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,AEGISLOG.NS
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018,AEGISVOPAK.NS
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011,AFCONS.NS
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,AFFLE.NS
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,AJANTPHARM.NS
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,ALKEM.NS
Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,ABDL,EQ,INE552Z01027,ABDL.NS
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,ARE&M.NS
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,AMBER.NS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,AMBUJACEM.NS
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026,ANANDRATHI.NS
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024,ANANTRAJ.NS
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021,ANGELONE.NS
Anthem Biosciences Ltd.,Healthcare,ANTHEM,EQ,INE0CZ201020,ANTHEM.NS
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018,ANURAS.NS
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015,APARINDS.NS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,APOLLOHOSP.NS
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,APOLLOTYRE.NS
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,APTUS.NS
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,ASAHIINDIA.NS
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,ASHOKLEY.NS
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,ASIANPAINT.NS
Aster DM Quality Care Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,ASTERDM.NS
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,ASTRAL.NS
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016,ATHERENERG.NS
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,ATUL.NS
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,AUROPHARMA.NS
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,EQ,INE206F01022,AIIL.NS
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,DMART.NS
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,AXISBANK.NS
