Symbol,Company
RELIANCE,Reliance Industries
TCS,Tata Consultancy Services
HDFCBANK,HDFC Bank
ICICIBANK,ICICI Bank
INFY,Infosys
HINDUNILVR,Hindustan Unilever
ITC,ITC
SBIN,State Bank of India
BHARTIARTL,Bharti Airtel
KOTAKBANK,Kotak Mahindra Bank
LT,Larsen & Toubro
AXISBANK,Axis Bank
BAJFINANCE,Bajaj Finance
MARUTI,Maruti Suzuki
ASIANPAINT,Asian Paints
HCLTECH,HCL Technologies
SUNPHARMA,Sun Pharmaceutical
TITAN,Titan Company
ULTRACEMCO,UltraTech Cement
NESTLEIND,Nestle India
WIPRO,Wipro
ADANIENT,Adani Enterprises
ADANIPORTS,Adani Ports & SEZ
TATAMOTORS,Tata Motors
TATASTEEL,Tata Steel
POWERGRID,Power Grid Corporation
NTPC,NTPC
ONGC,Oil & Natural Gas Corporation
COALINDIA,Coal India
JSWSTEEL,JSW Steel
M&M,Mahindra & Mahindra
BAJAJFINSV,Bajaj Finserv
TECHM,Tech Mahindra
INDUSINDBK,IndusInd Bank
GRASIM,Grasim Industries
DRREDDY,Dr Reddy's Laboratories
CIPLA,Cipla
EICHERMOT,Eicher Motors
BPCL,Bharat Petroleum
HEROMOTOCO,Hero MotoCorp
SHREECEM,Shree Cement
DIVISLAB,Divi's Laboratories
BRITANNIA,Britannia Industries
UPL,UPL
APOLLOHOSP,Apollo Hospitals
TATACONSUM,Tata Consumer Products
HDFCLIFE,HDFC Life Insurance
SBILIFE,SBI Life Insurance
BAJAJ-AUTO,Bajaj Auto
