strategy_variant,timeframe,direction,target_pct,stop_pct,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
baseline,15minute,above,1.0,0.5,66114.0,34.40269836948301,-0.018248642082518567,0.8702019863665239,-0.48419919533653577,-1206.4907226436326,0.9425459675915567,-0.018248642082518567,-0.027372551836285987,-1313.0135407367447,2.351105665970899,27.404180657651935,62.64331306531143,9.952506277036633
baseline,15minute,above,1.5,0.5,65330.0,30.263278738711158,-0.0006853343053123342,1.1120233904172077,-0.48356169674717775,-44.77289016605479,0.9979676942121062,-0.0006853343053123342,-0.0008671901361521698,-690.1144559274725,2.985963569569876,18.16929435175264,66.47022807286086,15.3604775753865
baseline,15minute,below,1.0,0.5,69990.0,32.5632233176168,-0.05106766405028659,0.8469104894140945,-0.48467473402225025,-3574.2258068795586,0.8437576335401654,-0.05106766405028659,-0.07860998208438065,-3644.49484310228,2.750721531647378,24.866409487069582,64.47778254036291,10.65580797256751
baseline,15minute,below,1.5,0.5,69008.0,28.447426385346624,-0.04565970760662762,1.0558683641792321,-0.4835983749462436,-3150.8851025181584,0.8680458558906362,-0.04565970760662762,-0.060348511289861934,-3283.5309135903317,3.3597988638998375,15.964815673545097,68.18919545559935,15.845988870855553
baseline,1minute,above,1.0,0.5,169442.0,36.298556438191234,0.011723341375509044,0.8838468577433606,-0.4852328170706652,1986.4264093490035,1.03792730395281,0.011723341375509044,0.017235344137064415,-674.8029338620292,24.030842412152833,29.700428465197533,60.95242029721084,9.347151237591625
baseline,1minute,above,1.5,0.5,164100.0,30.715417428397316,0.015124216599040048,1.142388550822122,-0.48461747617977563,2481.883943902472,1.0450440272083945,0.015124216599040048,0.018785502792539602,-689.0313130736467,34.572650822669104,19.363193174893357,66.16879951249238,14.468007312614258
baseline,1minute,below,1.0,0.5,156593.0,35.95116001353828,-0.00597833931162722,0.839455064824589,-0.48052731786168473,-936.1660878256412,0.9805754391141618,-0.00597833931162722,-0.009018220782172811,-1651.1918211515613,31.00389544871099,27.24004265835638,60.5001500705651,12.259807271078529
baseline,1minute,below,1.5,0.5,151847.0,30.858034732329255,-0.007282621277392278,1.0518048058618004,-0.4799529667718313,-1105.8441931081852,0.978054406751905,-0.007282621277392278,-0.009389205229216215,-2186.5271545560536,41.39256620150546,17.507754516058927,65.20510777295567,17.2871377109854
baseline,5minute,above,1.0,0.5,106547.0,35.686598402582895,0.0006728595046796615,0.8756157383302342,-0.48482058923713434,71.69116164510389,1.0021579523763473,0.0006728595046796615,0.0009974949820210895,-725.455433680495,5.638657118454766,28.72722835931561,61.452692239105744,9.820079401578646
baseline,5minute,above,1.5,0.5,104245.0,30.616336514940762,0.007059316771057728,1.120211995539092,-0.4841320573051854,735.8984767989128,1.0210155907439655,0.007059316771057728,0.008869023895716225,-510.7401805880918,7.715257326490479,18.588901146337953,66.17583577149983,15.235263082162215
baseline,5minute,below,1.0,0.5,105628.0,34.641382966637636,-0.02485473847723877,0.8368659336959953,-0.4815840447259288,-2625.356315873777,0.9210350701706133,-0.02485473847723877,-0.03787495523737012,-2754.753978937309,6.993770591131139,26.088726474040975,61.916347938046734,11.994925587912295
baseline,5minute,below,1.5,0.5,103239.0,29.929580875444355,-0.024905036839343666,1.0426922331161095,-0.480913995152221,-2571.1710982570007,0.9260930878838718,-0.024905036839343666,-0.032561859273475775,-2798.6824714323684,8.995147182750705,16.684586251319754,66.24822014936215,17.067193599318088
nifty_filtered,15minute,above,1.0,0.5,53307.0,34.30506312491793,-0.01811748426842533,0.8745974843025344,-0.4842819225967274,-965.7887338969491,0.9430534084288105,-0.01811748426842533,-0.027133985283013574,-1126.0256124764185,2.296583938319545,27.54422496107453,62.760988237942485,9.694786800982985
nifty_filtered,15minute,above,1.5,0.5,52724.0,30.215840983233445,0.0017018961539561855,1.1225080573505353,-0.48359593098769305,89.73077282118592,1.0050430534334371,0.0017018961539561855,0.002145116622338957,-554.8603494754991,2.910059934754571,18.374933616569304,66.53895759047114,15.086108792959562
nifty_filtered,15minute,below,1.0,0.5,48047.0,31.92082752305035,-0.058727842934430494,0.8489530850593683,-0.484319478294898,-2821.696669470582,0.821886086657723,-0.058727842934430494,-0.09078089854554346,-2862.1433561800113,2.781151788873395,24.567610881012342,65.01758694611526,10.414802172872397
nifty_filtered,15minute,below,1.5,0.5,47494.0,27.92773824061987,-0.051934986264915835,1.06113760410753,-0.4832465503519775,-2466.6002376659126,0.8508843907202385,-0.051934986264915835,-0.06888062965726026,-2524.3239677142856,3.3759632795721566,15.791468396007916,68.60866635785572,15.599865246136355
nifty_filtered,1minute,above,1.0,0.5,149440.0,36.42063704496788,0.012418634042920006,0.880240805042366,-0.4847023630941754,1855.8406713739657,1.0402979097725111,0.012418634042920006,0.018280845522524094,-521.8587308871765,24.276191113490363,29.591809421841543,60.73541220556745,9.672778372591006
nifty_filtered,1minute,above,1.5,0.5,145193.0,30.88785272017246,0.015983986417270838,1.1349066111718042,-0.48408899060589466,2320.762939882805,1.0477755295501174,0.015983986417270838,0.01988906757281643,-643.2633539295348,34.79856466909562,19.24472942910471,65.89918246747433,14.856088103420964
nifty_filtered,1minute,below,1.0,0.5,129463.0,35.827997188385865,-0.009300616380259452,0.833399087333665,-0.4797899465005867,-1204.0856984375293,0.9697924853948644,-0.009300616380259452,-0.014089437158875385,-1743.6509250477766,31.884183125680696,26.841645875655594,60.48214547785854,12.676208646485868
nifty_filtered,1minute,below,1.5,0.5,125875.0,30.790863952333662,-0.012390543761208227,1.0369487318019115,-0.47923733189986534,-1559.6596959420856,0.9626426297797558,-0.012390543761208227,-0.016100821957107478,-2325.0193940836016,42.16326514399206,17.08599801390268,65.12492552135055,17.789076464746774
nifty_filtered,5minute,above,1.0,0.5,88532.0,35.60520489766412,-0.0003763212863742247,0.8758730867606507,-0.484872617382819,-33.31647612528286,0.998794741063126,-0.0003763212863742247,-0.0005580889272707186,-796.6129452520372,5.666064247955542,28.66985948583563,61.52803506076899,9.802105453395383
nifty_filtered,5minute,above,1.5,0.5,86785.0,30.52716483263237,0.005054035933848937,1.1182236635512695,-0.4840855339007613,438.61450851907995,1.0150280004039414,0.005054035933848937,0.0063624180827656,-780.3349919939233,7.751754335426629,18.435213458546983,66.23955752722244,15.32522901423057
nifty_filtered,5minute,below,1.0,0.5,78565.0,33.92604849487685,-0.034234269357003966,0.8362289036048688,-0.48117856656040503,-2689.6153720330167,0.892322612731328,-0.034234269357003966,-0.052466125950584724,-2731.134999500742,7.177343600840069,25.546999299942723,62.52402469292942,11.928976007127856
nifty_filtered,5minute,below,1.5,0.5,77014.0,29.389461656322226,-0.03321918292164304,1.0411505146494542,-0.4803924770522833,-2558.342153527417,0.902068315282591,-0.03321918292164304,-0.04371782918435215,-2621.872156350125,9.11995221648012,16.378840210870752,66.65411483626353,16.967044952865713
