timeframe,threshold,direction,macd_sign,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
15minute,1.5,above,negative,4022,-0.023048846515242735,0.8034775576223211,0.16012939749292357,0.4095393483510217,0.002450895053127334,0.893491124260355,0.3340505648197956,0.5101357153975967,-0.07862261692133987,0.9579439252336449,0.5876168224299065,0.6432709621378937,,,,
15minute,1.5,above,positive,40545,-0.020570337836834766,0.8363860876723606,0.13932908005762504,0.2795777569866286,-0.013179663447433645,0.9274678731289406,0.32141310102517207,0.36956693093725884,0.022051733670859445,0.9806034482758621,0.6737068965517241,0.45387750847651037,,,,
15minute,1.5,below,negative,45336,0.01372137604874162,0.7860192266347247,0.0962560275192727,0.27190030706463386,0.02907551737302615,0.8937138695434476,0.2372433884109427,0.3739532677447002,0.14844005259909013,0.968503937007874,0.5582869214518917,0.437892027792043,,,,
15minute,1.5,below,positive,6163,0.06882278550679909,0.7426669953167365,0.1375400542272615,0.3725228095418172,0.12691888486433775,0.8208073514932721,0.2884804725959961,0.5221382070935353,0.1332095965755574,0.8950238582140423,0.4703476482617587,0.6846567069524236,,,,
15minute,2.0,above,negative,1450,0.03963852440657642,0.8431845597104946,0.1399276236429433,0.473190738117673,0.03422947053431599,0.9080267558528428,0.28762541806020064,0.5870390045331298,-0.25431591148171534,0.9738805970149254,0.5186567164179104,0.748537271121395,,,,
15minute,2.0,above,positive,18015,-0.006123257616976337,0.8628311392816512,0.13123679505932065,0.30115470630834,-0.0021857544031743744,0.9405125793557488,0.30049376910416176,0.39457962283380327,0.008071233706296066,0.9748928352725046,0.6417636252296387,0.5141158924205831,,,,
15minute,2.0,below,negative,18420,0.07131168261622196,0.808244446226642,0.081642473333868,0.2950306387355633,0.10873437045705975,0.902547770700637,0.20585987261146496,0.40263468586556156,0.27942909262870774,0.9687875150060024,0.5312124849939976,0.46219115163638325,,,,
15minute,2.0,below,positive,2168,-0.0036033913020859566,0.7517985611510791,0.10359712230215827,0.4411816737070604,0.017643581914919874,0.8234165067178503,0.22840690978886757,0.6139379481179401,-0.15484257204504595,0.889795918367347,0.4,0.8049086779821516,,,,
15minute,3.0,above,negative,268,0.20459712658946208,0.8287671232876712,0.1232876712328767,0.5682195563484843,0.09678143088579579,0.9052631578947369,0.2631578947368421,0.7861029718961104,-0.414083522444542,0.8823529411764706,0.4411764705882353,1.2864078677981554,,,,
15minute,3.0,above,positive,4280,0.09681205435073979,0.8901755696675383,0.1288756070227867,0.3513736252271746,0.1996800480719344,0.944,0.284,0.443000645847591,0.35747708740560113,0.9708029197080292,0.572992700729927,0.5557296893739648,,,,
15minute,3.0,below,negative,3549,0.18542652581425298,0.8116591928251121,0.08834080717488789,0.41700082899249763,0.08164168605569645,0.891044776119403,0.191044776119403,0.5970010817866708,0.2767422257763557,0.9770642201834863,0.46788990825688076,0.6111402603446737,,,,
15minute,3.0,below,positive,287,0.023381246123096645,0.7362637362637363,0.07692307692307693,0.571154929786316,-0.48459190737030233,0.7954545454545454,0.13636363636363635,0.8008968116709395,-1.0748996747731632,0.8666666666666667,0.2833333333333333,1.069156062393054,,,,
15minute,4.0,above,negative,78,-0.07920431901961524,0.8,0.06666666666666667,0.5121824641325711,-0.0640897775913416,0.8888888888888888,0.1111111111111111,1.0378763688192654,-1.056076153120957,1.0,0.2857142857142857,0.8198191615718244,,,,
