symbol,timeframe,count
PFOCUS,1minute,5128
NETWEB,1minute,4086
CARTRADE,1minute,3799
OLAELEC,1minute,3726
TARIL,1minute,3651
PGEL,1minute,3642
GALLANTT,1minute,3489
RPOWER,1minute,3378
DATAPATTNS,1minute,3290
GRSE,1minute,3266
BLUEJET,1minute,3253
WOCKPHARMA,1minute,3231
PARADEEP,1minute,3162
IDEA,1minute,3118
NEWGEN,1minute,3055
ANANTRAJ,1minute,3051
GODFRYPHLP,1minute,3014
FORCEMOT,1minute,3006
NEULANDLAB,1minute,2945
SYRMA,1minute,2943
TEJASNET,1minute,2936
HFCL,1minute,2909
SCHNEIDER,1minute,2907
ACUTAAS,1minute,2891
KAYNES,1minute,2889
AIIL,1minute,2858
JMFINANCIL,1minute,2857
TECHNOE,1minute,2853
IFCI,1minute,2797
SWANCORP,1minute,2781
POWERINDIA,1minute,2740
AEGISLOG,1minute,2715
FIRSTCRY,1minute,2702
JPPOWER,1minute,2702
GABRIEL,1minute,2695
GMDCLTD,1minute,2674
CEMPRO,1minute,2664
ITI,1minute,2650
MRPL,1minute,2636
PREMIERENE,1minute,2622
GRAVITA,1minute,2611
GVT&D,1minute,2610
APARINDS,1minute,2604
ZENTEC,1minute,2601
JYOTICNC,1minute,2573
CHENNPETRO,1minute,2559
DEEPAKFERT,1minute,2524
HBLENGINE,1minute,2523
ECLERX,1minute,2517
ELECON,1minute,2460
ACMESOLAR,1minute,2432
INOXWIND,1minute,2426
HSCL,1minute,2425
PFOCUS,5minute,2409
HEG,1minute,2392
KALYANKJIL,1minute,2375
MAZDOCK,1minute,2364
BSE,1minute,2363
ABREL,1minute,2356
KFINTECH,1minute,2352
INTELLECT,1minute,2348
CONCORDBIO,1minute,2344
ABDL,1minute,2331
ONESOURCE,1minute,2326
HINDCOPPER,1minute,2318
BLS,1minute,2309
JWL,1minute,2303
ANGELONE,1minute,2292
SCI,1minute,2273
FACT,1minute,2264
MOTILALOFS,1minute,2263
PAYTM,1minute,2237
SAMMAANCAP,1minute,2231
AMBER,1minute,2226
FSL,1minute,2223
SAREGAMA,1minute,2223
SAPPHIRE,1minute,2210
NAVA,1minute,2209
COHANCE,1minute,2204
MMTC,1minute,2203
SWIGGY,1minute,2199
BDL,1minute,2196
TBOTEK,1minute,2188
JUBLINGREA,1minute,2182
PTCIL,1minute,2182
SONATSOFTW,1minute,2181
PCBL,1minute,2159
POLYMED,1minute,2155
KIRLOSENG,1minute,2149
REDINGTON,1minute,2121
WAAREEENER,1minute,2076
TTML,1minute,2073
GPIL,1minute,2065
SARDAEN,1minute,2056
TRITURBINE,1minute,2038
ADANIGREEN,1minute,2037
COCHINSHIP,1minute,2032
NUVAMA,1minute,2032
CREDITACC,1minute,2025
FIVESTAR,1minute,2021
PPLPHARMA,1minute,1990
JINDALSAW,1minute,1987
RAILTEL,1minute,1984
VIJAYA,1minute,1978
WELSPUNLIV,1minute,1977
TITAGARH,1minute,1971
JUBLPHARMA,1minute,1957
IGIL,1minute,1955
ATHERENERG,1minute,1945
GRAPHITE,1minute,1943
LLOYDSME,1minute,1935
OLECTRA,1minute,1925
SAGILITY,1minute,1917
BEML,1minute,1913
IIFL,1minute,1906
POLICYBZR,1minute,1905
JBMA,1minute,1867
ENGINERSIN,1minute,1862
ZENSARTECH,1minute,1847
HOMEFIRST,1minute,1836
LODHA,1minute,1829
CHOLAHLDNG,1minute,1815
RKFORGE,1minute,1812
NLCINDIA,1minute,1812
AEGISVOPAK,1minute,1793
ZEEL,1minute,1790
DCMSHRIRAM,1minute,1789
KEC,1minute,1766
USHAMART,1minute,1756
HONASA,1minute,1752
IKS,1minute,1742
GODREJIND,1minute,1740
ADANIENSOL,1minute,1736
LTFOODS,1minute,1732
DEVYANI,1minute,1727
NETWEB,5minute,1726
KPRMILL,1minute,1722
CARTRADE,5minute,1712
ADANIPOWER,1minute,1709
CRAFTSMAN,1minute,1698
CAPLIPOINT,1minute,1693
MCX,1minute,1687
NIACL,1minute,1677
EMCURE,1minute,1673
IRCON,1minute,1649
EMMVEE,1minute,1647
360ONE,1minute,1647
ATGL,1minute,1643
NAM-INDIA,1minute,1641
RVNL,1minute,1634
CGCL,1minute,1632
SUZLON,1minute,1628
WELCORP,1minute,1619
OLAELEC,5minute,1616
SOBHA,1minute,1610
LATENTVIEW,1minute,1597
ASAHIINDIA,1minute,1597
THERMAX,1minute,1592
RHIM,1minute,1585
HUDCO,1minute,1573
POONAWALLA,1minute,1566
VTL,1minute,1563
DIXON,1minute,1555
GALLANTT,5minute,1554
CPPLUS,1minute,1550
SPLPETRO,1minute,1547
ACE,1minute,1547
BLUESTARCO,1minute,1545
PGEL,5minute,1543
NBCC,1minute,1532
ZYDUSWELL,1minute,1525
ELGIEQUIP,1minute,1524
GODREJPROP,1minute,1524
MAPMYINDIA,1minute,1513
GODIGIT,1minute,1511
ERIS,1minute,1505
RRKABEL,1minute,1495
DOMS,1minute,1494
TARIL,5minute,1485
RPOWER,5minute,1470
SIGNATURE,1minute,1462
BRIGADE,1minute,1451
PWL,1minute,1449
TEGA,1minute,1440
FLUOROCHEM,1minute,1437
BBTC,1minute,1436
PNBHOUSING,1minute,1432
GRANULES,1minute,1430
DATAPATTNS,5minute,1426
ABSLAMC,1minute,1426
PHOENIXLTD,1minute,1425
CCL,1minute,1424
TATAINVEST,1minute,1416
ABFRL,1minute,1415
IDBI,1minute,1403
ETERNAL,1minute,1401
JAINREC,1minute,1401
FINCABLES,1minute,1399
GRSE,5minute,1384
CHALET,1minute,1383
PARADEEP,5minute,1377
VMM,1minute,1368
PRESTIGE,1minute,1367
WOCKPHARMA,5minute,1359
UNOMINDA,1minute,1356
KPIL,1minute,1347
RBLBANK,1minute,1344
NATIONALUM,1minute,1343
BHEL,1minute,1335
KPITTECH,1minute,1330
AFCONS,1minute,1329
PFOCUS,15minute,1329
IDEA,5minute,1329
BLUEJET,5minute,1327
INDGN,1minute,1327
MINDACORP,1minute,1318
MANAPPURAM,1minute,1316
AFFLE,1minute,1309
J&KBANK,1minute,1309
GODFRYPHLP,5minute,1304
SUMICHEM,1minute,1304
BELRISE,1minute,1302
WHIRLPOOL,1minute,1297
ANANTRAJ,5minute,1292
FORCEMOT,5minute,1289
HEXT,1minute,1285
HFCL,5minute,1284
TIINDIA,1minute,1278
SAILIFE,1minute,1277
OIL,1minute,1275
SUNDARMFIN,1minute,1265
CEATLTD,1minute,1265
SYRMA,5minute,1263
KAYNES,5minute,1262
NEWGEN,5minute,1259
NEULANDLAB,5minute,1258
IREDA,1minute,1258
BSOFT,1minute,1254
CGPOWER,1minute,1253
BHARTIHEXA,1minute,1251
GESHIP,1minute,1247
NSLNISP,1minute,1238
NATCOPHARM,1minute,1232
COFORGE,1minute,1229
AADHARHFC,1minute,1227
IFCI,5minute,1220
BALRAMCHIN,1minute,1218
CARBORUNIV,1minute,1217
RADICO,1minute,1212
EIHOTEL,1minute,1210
ACUTAAS,5minute,1208
RITES,1minute,1208
TEJASNET,5minute,1201
JMFINANCIL,5minute,1201
JKTYRE,1minute,1192
AIIL,5minute,1189
POWERINDIA,5minute,1188
GRAVITA,5minute,1185
SBFC,1minute,1172
KEI,1minute,1167
CDSL,1minute,1166
SWANCORP,5minute,1165
PINELABS,1minute,1161
GICRE,1minute,1160
UTIAMC,1minute,1160
KIMS,1minute,1157
CAMS,1minute,1157
TECHNOE,5minute,1156
SCHNEIDER,5minute,1151
FIRSTCRY,5minute,1150
JPPOWER,5minute,1149
LAURUSLABS,1minute,1148
OFSS,1minute,1138
CHENNPETRO,5minute,1133
GABRIEL,5minute,1132
TORNTPOWER,1minute,1128
COROMANDEL,1minute,1124
NIVABUPA,1minute,1123
APARINDS,5minute,1121
PREMIERENE,5minute,1120
ZENTEC,5minute,1117
JSWENERGY,1minute,1116
LEMONTREE,1minute,1112
ENDURANCE,1minute,1112
AEGISLOG,5minute,1110
MRPL,5minute,1108
ANURAS,1minute,1108
GVT&D,5minute,1108
GMDCLTD,5minute,1106
JSWDULUX,1minute,1106
INDIACEM,1minute,1104
EIDPARRY,1minute,1097
CEMPRO,5minute,1096
JYOTICNC,5minute,1081
PERSISTENT,1minute,1081
SOLARINDS,1minute,1080
ZFCVINDIA,1minute,1074
SAIL,1minute,1072
CESC,1minute,1068
DEEPAKFERT,5minute,1065
CRISIL,1minute,1063
DELHIVERY,1minute,1058
JSWINFRA,1minute,1056
ECLERX,5minute,1056
KALYANKJIL,5minute,1054
HBLENGINE,5minute,1051
ANANDRATHI,1minute,1046
PFC,1minute,1046
HINDPETRO,1minute,1046
SONACOMS,1minute,1045
ADANIENT,1minute,1041
ELECON,5minute,1041
BSE,5minute,1040
INOXWIND,5minute,1040
NUVOCO,1minute,1039
NAVINFLUOR,1minute,1035
URBANCO,1minute,1034
SHYAMMETL,1minute,1033
MEESHO,1minute,1022
KFINTECH,5minute,1022
MAZDOCK,5minute,1021
ONESOURCE,5minute,1021
JSL,1minute,1020
GROWW,1minute,1019
ABREL,5minute,1019
ACMESOLAR,5minute,1018
CUB,1minute,1018
LINDEINDIA,1minute,1017
CLEAN,1minute,1016
GLAXO,1minute,1016
HSCL,5minute,1007
ITI,5minute,1005
SCI,5minute,999
FSL,5minute,998
HEG,5minute,997
HINDCOPPER,5minute,995
BAJAJHLDNG,1minute,995
PAYTM,5minute,994
INTELLECT,5minute,993
STARHEALTH,1minute,991
NCC,1minute,990
AJANTPHARM,1minute,988
MGL,1minute,988
AARTIIND,1minute,986
SHRIRAMFIN,1minute,986
AWL,1minute,986
SUPREMEIND,1minute,984
BLS,5minute,983
KARURVYSYA,1minute,979
MOTILALOFS,5minute,979
M&MFIN,1minute,979
JWL,5minute,978
CHAMBLFERT,1minute,976
GLAND,1minute,974
VOLTAS,1minute,972
CONCORDBIO,5minute,972
ANGELONE,5minute,970
IRB,1minute,968
CYIENT,1minute,968
AMBER,5minute,963
BIKAJI,1minute,960
ASTERDM,1minute,958
IPCALAB,1minute,957
APTUS,1minute,955
IEX,1minute,949
MOTHERSON,1minute,948
BDL,5minute,947
SAMMAANCAP,5minute,946
SWIGGY,5minute,945
MAHABANK,1minute,944
GILLETTE,1minute,944
SIEMENS,1minute,943
SJVN,1minute,940
SAPPHIRE,5minute,937
TIMKEN,1minute,934
NH,1minute,933
NAVA,5minute,932
PVRINOX,1minute,929
FACT,5minute,929
PTCIL,5minute,927
SAREGAMA,5minute,924
CIEINDIA,1minute,923
NETWEB,15minute,923
COHANCE,5minute,923
TBOTEK,5minute,922
SONATSOFTW,5minute,919
CARTRADE,15minute,916
OBEROIRLTY,1minute,915
BANDHANBNK,1minute,909
KIRLOSENG,5minute,909
AAVAS,1minute,907
RECLTD,1minute,906
NAUKRI,1minute,906
TTML,5minute,902
POLYMED,5minute,901
ABDL,5minute,898
OLAELEC,15minute,896
MMTC,5minute,894
PCBL,5minute,893
JUBLINGREA,5minute,891
ADANIGREEN,5minute,890
WAAREEENER,5minute,889
ENRIN,1minute,887
REDINGTON,5minute,886
SARDAEN,5minute,880
NTPCGREEN,1minute,880
PGEL,15minute,878
SAGILITY,5minute,875
FIVESTAR,5minute,874
VBL,1minute,871
WELSPUNLIV,5minute,868
ATHERENERG,5minute,864
NMDC,1minute,862
COCHINSHIP,5minute,860
FORTIS,1minute,860
UNIONBANK,1minute,859
RAINBOW,1minute,859
TRITURBINE,5minute,858
MEDANTA,1minute,858
JUBLPHARMA,5minute,857
TRENT,1minute,857
HINDZINC,1minute,853
IGL,1minute,849
IRFC,1minute,848
TENNIND,1minute,843
CHOICEIN,1minute,843
