timeframe,threshold,direction,count
15minute,1.5,above,44567
15minute,1.5,below,51499
15minute,2.0,above,19465
15minute,2.0,below,20588
15minute,3.0,above,4548
15minute,3.0,below,3836
15minute,4.0,above,1343
15minute,4.0,below,1067
1minute,1.5,above,191125
1minute,1.5,below,222552
1minute,2.0,above,84406
1minute,2.0,below,92103
1minute,3.0,above,20174
1minute,3.0,below,17756
1minute,4.0,above,6144
1minute,4.0,below,4690
5minute,1.5,above,82491
5minute,1.5,below,94406
5minute,2.0,above,36221
5minute,2.0,below,38897
5minute,3.0,above,8549
5minute,3.0,below,7464
5minute,4.0,above,2588
5minute,4.0,below,1990
