symbol,n,total_pnl,avg_pnl,win_rate
ITI,73,24.07650478341175,0.32981513401933904,42.465753424657535
TARIL,76,21.98379604307643,0.28926047425100565,39.473684210526315
PGEL,79,19.31534296478209,0.24449801221243153,39.24050632911392
SAREGAMA,59,14.763854448438394,0.2502348211599728,40.67796610169492
PFOCUS,103,14.298387878325231,0.13881929978956536,32.038834951456316
VMM,25,13.606549843116005,0.5442619937246402,56.00000000000001
TRITURBINE,29,13.500000000000162,0.46551724137931594,48.275862068965516
HFCL,22,11.507516235864948,0.5230689198120431,54.54545454545454
HEG,35,10.432706072642455,0.298077316361213,42.857142857142854
LLOYDSME,17,10.101449275362258,0.5942028985507211,58.82352941176471
REDINGTON,26,10.085271066358779,0.3878950410137992,46.15384615384615
ACE,23,10.036087579425077,0.4363516338880468,52.17391304347826
GRSE,45,9.797202588649409,0.21771561308109796,35.55555555555556
NEULANDLAB,65,9.7257365218971,0.14962671572149383,35.38461538461539
BDL,39,9.543739671332084,0.24471127362389958,38.46153846153847
ADANIGREEN,48,9.515443337079704,0.19823840285582717,37.5
RPOWER,88,9.185849509419969,0.104384653516136,30.681818181818183
SIEMENS,10,8.999999999999986,0.8999999999999986,70.0
ZENTEC,58,8.91755325251762,0.15375091814685554,32.758620689655174
GRAVITA,36,8.000000000000032,0.2222222222222231,36.11111111111111
NETWEB,64,7.1629270780216165,0.11192073559408776,31.25
ANANTRAJ,54,6.709004556683063,0.12424082512376043,35.18518518518518
JYOTICNC,28,6.690859930018016,0.23895928321492915,39.285714285714285
POONAWALLA,20,6.641633349992898,0.3320816674996449,45.0
TECHNOE,31,6.554296856864404,0.21142893086659367,35.483870967741936
RRKABEL,23,6.50000000000005,0.28260869565217606,39.130434782608695
POLICYBZR,11,6.500000000000042,0.5909090909090947,54.54545454545454
KEI,15,6.499999999999925,0.43333333333332835,46.666666666666664
JUBLPHARMA,22,6.432983231107347,0.2924083286866976,40.909090909090914
HEXT,13,6.363888407555034,0.48952987750423343,53.84615384615385
PTCIL,30,6.345314111652837,0.2115104703884279,36.666666666666664
360ONE,15,6.215407548474526,0.4143605032316351,46.666666666666664
EMMVEE,19,6.091224351427086,0.3205907553382677,42.10526315789473
DIXON,22,6.089548905761458,0.2767976775346117,40.909090909090914
ABDL,17,6.067472974769728,0.35691017498645455,41.17647058823529
KFINTECH,28,6.000000000000185,0.21428571428572088,35.714285714285715
CLEAN,10,5.959317032040492,0.5959317032040492,60.0
GVT&D,25,5.872811409087311,0.23491245636349245,36.0
SAGILITY,34,5.824739231671292,0.171315859755038,35.294117647058826
VOLTAS,7,5.744416873449133,0.8206309819213047,71.42857142857143
AEGISLOG,51,5.7233822510613885,0.11222318139336056,33.33333333333333
