symbol,entry_time,exit_time,entry_price,exit_price,qty,notional,gross_pnl,cost,net_pnl,exit_reason
GALLANTT,2024-08-19 09:18:00+05:30,2024-08-19 09:18:00+05:30,343.0,344.715,291,99813.0,-499.0649999999927,49.9065,-548.9714999999927,SL
GALLANTT,2024-08-19 09:20:00+05:30,2024-08-19 09:20:00+05:30,352.0,353.76,283,99616.0,-498.0799999999974,49.808,-547.8879999999974,SL
GALLANTT,2024-08-19 09:27:00+05:30,2024-08-19 09:27:00+05:30,349.0,350.74499999999995,286,99814.0,-499.06999999998504,49.907000000000004,-548.9769999999851,SL
GALLANTT,2024-08-19 09:38:00+05:30,2024-08-19 09:38:00+05:30,350.0,351.74999999999994,285,99750.0,-498.74999999998386,49.875,-548.6249999999839,SL
GALLANTT,2024-08-19 10:40:00+05:30,2024-08-19 12:11:00+05:30,354.85,349.52725000000004,281,99712.85,1495.6927499999956,49.856425,1445.8363249999957,TP
GALLANTT,2024-08-19 12:39:00+05:30,2024-08-19 14:23:00+05:30,353.95,355.71975,282,99813.9,-499.06949999999654,49.906949999999995,-548.9764499999965,SL
GRAVITA,2024-08-19 12:41:00+05:30,2024-08-19 12:47:00+05:30,2497.3,2459.8405000000002,40,99892.0,1498.3799999999974,49.946,1448.4339999999975,TP
GRAVITA,2024-08-19 13:01:00+05:30,2024-08-19 13:01:00+05:30,2522.8,2535.4139999999998,39,98389.20000000001,-491.9459999999836,49.19460000000001,-541.1405999999836,SL
GRAVITA,2024-08-19 13:08:00+05:30,2024-08-19 13:08:00+05:30,2514.5,2527.0724999999998,39,98065.5,-490.3274999999907,49.03275,-539.3602499999907,SL
GRAVITA,2024-08-19 13:13:00+05:30,2024-08-19 13:38:00+05:30,2518.1,2480.3285,39,98205.9,1473.0884999999935,49.10295,1423.9855499999935,TP
GALLANTT,2024-08-19 14:24:00+05:30,2024-08-19 15:29:00+05:30,359.2,359.2,278,99857.59999999999,-0.0,49.928799999999995,-49.928799999999995,EOD
CAPLIPOINT,2024-08-19 15:15:00+05:30,2024-08-19 15:15:00+05:30,1857.0,1866.2849999999999,53,98421.0,-492.10499999999234,49.2105,-541.3154999999923,SL
GODFRYPHLP,2024-08-19 15:17:00+05:30,2024-08-19 15:17:00+05:30,1741.0,1749.705,57,99237.0,-496.18499999999585,49.618500000000004,-545.8034999999959,SL
