symbol,entry_time,exit_time,entry_price,exit_price,qty,notional,gross_pnl,cost,net_pnl,exit_reason
GALLANTT,2024-08-19 09:18:00+05:30,2024-08-19 09:18:00+05:30,343.0,344.715,291,99813.0,-499.0649999999927,79.85040000000001,-578.9153999999927,SL
GALLANTT,2024-08-19 09:20:00+05:30,2024-08-19 09:20:00+05:30,352.0,353.76,283,99616.0,-498.0799999999974,79.6928,-577.7727999999975,SL
GALLANTT,2024-08-19 09:27:00+05:30,2024-08-19 09:27:00+05:30,349.0,350.74499999999995,286,99814.0,-499.06999999998504,79.8512,-578.921199999985,SL
GALLANTT,2024-08-19 09:38:00+05:30,2024-08-19 09:38:00+05:30,350.0,351.74999999999994,285,99750.0,-498.74999999998386,79.8,-578.5499999999838,SL
GALLANTT,2024-08-19 10:40:00+05:30,2024-08-19 12:11:00+05:30,354.85,349.52725000000004,281,99712.85,1495.6927499999956,79.77028000000001,1415.9224699999957,TP
GALLANTT,2024-08-19 12:39:00+05:30,2024-08-19 14:23:00+05:30,353.95,355.71975,282,99813.9,-499.06949999999654,79.85112,-578.9206199999966,SL
GRAVITA,2024-08-19 12:41:00+05:30,2024-08-19 12:47:00+05:30,2497.3,2459.8405000000002,40,99892.0,1498.3799999999974,79.9136,1418.4663999999973,TP
GRAVITA,2024-08-19 13:01:00+05:30,2024-08-19 13:01:00+05:30,2522.8,2535.4139999999998,39,98389.20000000001,-491.9459999999836,78.71136000000001,-570.6573599999836,SL
GRAVITA,2024-08-19 13:08:00+05:30,2024-08-19 13:08:00+05:30,2514.5,2527.0724999999998,39,98065.5,-490.3274999999907,78.4524,-568.7798999999907,SL
GRAVITA,2024-08-19 13:13:00+05:30,2024-08-19 13:38:00+05:30,2518.1,2480.3285,39,98205.9,1473.0884999999935,78.56472,1394.5237799999934,TP
GALLANTT,2024-08-19 14:24:00+05:30,2024-08-19 15:29:00+05:30,359.2,359.2,278,99857.59999999999,-0.0,79.88607999999999,-79.88607999999999,EOD
CAPLIPOINT,2024-08-19 15:15:00+05:30,2024-08-19 15:15:00+05:30,1857.0,1866.2849999999999,53,98421.0,-492.10499999999234,78.7368,-570.8417999999923,SL
GODFRYPHLP,2024-08-19 15:17:00+05:30,2024-08-19 15:17:00+05:30,1741.0,1749.705,57,99237.0,-496.18499999999585,79.3896,-575.5745999999958,SL
FSL,2024-08-19 15:22:00+05:30,2024-08-19 15:24:00+05:30,334.65,336.3232499999999,298,99725.7,-498.62849999998184,79.78056000000001,-578.4090599999819,SL
OLAELEC,2024-08-20 09:27:00+05:30,2024-08-20 09:27:00+05:30,146.62,145.8869,680,99701.6,-498.508000000005,79.76128000000001,-578.269280000005,SL
TECHNOE,2024-08-20 09:43:00+05:30,2024-08-20 09:43:00+05:30,1690.75,1716.11125,59,99754.25,1496.3137499999957,79.80340000000001,1416.5103499999957,TP
OLAELEC,2024-08-20 09:55:00+05:30,2024-08-20 09:55:00+05:30,144.16,143.4392,693,99902.88,-499.514399999998,79.92230400000001,-579.436703999998,SL
OLAELEC,2024-08-20 10:00:00+05:30,2024-08-20 10:06:00+05:30,143.88,143.1606,694,99852.72,-499.2636000000051,79.882176,-579.1457760000051,SL
GODFRYPHLP,2024-08-20 10:00:00+05:30,2024-08-20 10:06:00+05:30,1851.0,1860.2549999999999,53,98103.0,-490.51499999999373,78.4824,-568.9973999999937,SL
GODFRYPHLP,2024-08-20 10:07:00+05:30,2024-08-20 10:07:00+05:30,1870.0,1879.35,53,99110.0,-495.5499999999952,79.288,-574.8379999999952,SL
GRAVITA,2024-08-20 10:12:00+05:30,2024-08-20 10:13:00+05:30,2136.9,2126.2155000000002,46,98297.40000000001,-491.4869999999928,78.63792000000001,-570.1249199999928,SL
GRAVITA,2024-08-20 10:14:00+05:30,2024-08-20 10:21:00+05:30,2128.0,2117.36,46,97888.0,-489.43999999999414,78.3104,-567.7503999999941,SL
OLAELEC,2024-08-20 10:36:00+05:30,2024-08-20 11:15:00+05:30,142.3,141.5885,699,99467.70000000001,-497.33850000000075,79.57416,-576.9126600000008,SL
POLYMED,2024-08-20 11:29:00+05:30,2024-08-20 12:06:00+05:30,2212.4,2179.214,44,97345.6,1460.1840000000066,77.87648000000002,1382.3075200000067,TP
ANGELONE,2024-08-20 12:00:00+05:30,2024-08-20 12:01:00+05:30,259.8,261.099,383,99503.40000000001,-497.5169999999917,79.60272,-577.1197199999917,SL
ANGELONE,2024-08-20 12:34:00+05:30,2024-08-20 12:45:00+05:30,263.2,264.51599999999996,378,99489.59999999999,-497.4479999999902,79.59168,-577.0396799999902,SL
AIIL,2024-08-20 14:39:00+05:30,2024-08-20 14:39:00+05:30,297.0,298.48499999999996,335,99495.0,-497.4749999999855,79.596,-577.0709999999856,SL
AIIL,2024-08-20 14:47:00+05:30,2024-08-20 14:47:00+05:30,302.0,303.51,329,99358.0,-496.789999999997,79.4864,-576.276399999997,SL
AIIL,2024-08-20 14:53:00+05:30,2024-08-20 14:53:00+05:30,301.3,302.80649999999997,329,99127.7,-495.63849999998683,79.30216,-574.9406599999868,SL
GODFRYPHLP,2024-08-20 14:55:00+05:30,2024-08-20 14:56:00+05:30,1943.0,1952.7149999999997,51,99093.0,-495.4649999999842,79.2744,-574.7393999999841,SL
OLAELEC,2024-08-20 15:18:00+05:30,2024-08-20 15:21:00+05:30,137.65,136.96175,721,99245.65000000001,-496.22825000000773,79.39652000000001,-575.6247700000077,SL
ANGELONE,2024-08-20 15:19:00+05:30,2024-08-20 15:24:00+05:30,274.0,269.89,362,99188.0,1487.8200000000047,79.35040000000001,1408.4696000000047,TP
AIIL,2024-08-20 15:25:00+05:30,2024-08-20 15:29:00+05:30,303.7,304.6,327,99309.9,-294.30000000001115,79.44792,-373.74792000001116,EOD
GODIGIT,2024-08-21 09:40:00+05:30,2024-08-21 09:41:00+05:30,382.2,376.467,259,98989.8,1484.8470000000011,79.19184,1405.6551600000012,TP
NYKAA,2024-08-21 12:17:00+05:30,2024-08-21 12:23:00+05:30,213.51,214.57754999999997,466,99495.65999999999,-497.47829999999203,79.59652799999999,-577.0748279999921,SL
NYKAA,2024-08-21 12:27:00+05:30,2024-08-21 12:27:00+05:30,216.3,217.3815,459,99281.70000000001,-496.4084999999895,79.42536000000001,-575.8338599999895,SL
CESC,2024-08-21 12:45:00+05:30,2024-08-21 12:47:00+05:30,181.42,178.69869999999997,547,99236.73999999999,1488.5511000000074,79.389392,1409.1617080000074,TP
DEEPAKFERT,2024-08-21 14:48:00+05:30,2024-08-21 14:48:00+05:30,1069.95,1075.29975,93,99505.35,-497.52674999998686,79.60428,-577.1310299999868,SL
