timeframe,threshold,direction,target_pct,stop_pct,n_trades_baseline,avg_pnl_pct_baseline,n_trades_filtered,avg_pnl_pct_filtered,delta,filter_helps
15minute,1.5,above,1.0,0.5,41548.0,-0.0148985938946205,33429.0,-0.0143750139321573,0.0005235799624632009,True
15minute,1.5,above,1.5,0.5,41005.0,-0.005115643358967,33030.0,-0.0020900949967809,0.0030255483621861,True
15minute,1.5,below,1.0,0.5,46095.0,-0.0497295642537283,31869.0,-0.0547417744898428,-0.005012210236114499,False
15minute,1.5,below,1.5,0.5,45436.0,-0.0464080974666663,31495.0,-0.0495991922937729,-0.003191094827106604,False
15minute,2.0,above,1.0,0.5,18743.0,-0.0190142535930216,15063.0,-0.0189277572551559,8.64963378656991e-05,True
15minute,2.0,above,1.5,0.5,18542.0,0.0051094958283336,14905.0,0.0070122753291177,0.0019027795007841002,True
15minute,2.0,below,1.0,0.5,19144.0,-0.0490104154300912,12884.0,-0.0628620264185851,-0.013851610988493898,False
15minute,2.0,below,1.5,0.5,18890.0,-0.0432784280517331,12750.0,-0.0543543844199127,-0.011075956368179603,False
15minute,3.0,above,1.0,0.5,4488.0,-0.0331895822027534,3677.0,-0.034694470663996,-0.0015048884612426025,False
15minute,3.0,above,1.5,0.5,4454.0,0.0142647250909239,3656.0,0.0145774657304195,0.00031274063949560116,True
15minute,3.0,below,1.0,0.5,3703.0,-0.0628473187499681,2554.0,-0.0732537382603155,-0.010406419510347403,False
15minute,3.0,below,1.5,0.5,3647.0,-0.0428883550799522,2517.0,-0.0617722890163127,-0.0188839339363605,False
15minute,4.0,above,1.0,0.5,1335.0,-0.0615317928763857,1138.0,-0.0637662715227879,-0.0022344786464021937,False
15minute,4.0,above,1.5,0.5,1329.0,0.0050554616737785,1133.0,0.0008415110979223,-0.0042139505758562,False
15minute,4.0,below,1.0,0.5,1048.0,-0.1058802750755265,740.0,-0.1082792734593033,-0.0023989983837768014,False
15minute,4.0,below,1.5,0.5,1035.0,-0.0660323180182407,732.0,-0.0764677917562641,-0.010435473738023407,False
1minute,1.5,above,1.0,0.5,100266.0,0.0066119728721274,88654.0,0.0074900006237814,0.0008780277516540003,True
1minute,1.5,above,1.5,0.5,97106.0,0.0077000572978623,86105.0,0.0088895502651197,0.0011894929672574004,True
1minute,1.5,below,1.0,0.5,97815.0,-0.0142745395816877,81466.0,-0.016114654845765,-0.001840115264077298,False
1minute,1.5,below,1.5,0.5,94967.0,-0.0166484870687139,79324.0,-0.0192692484314577,-0.0026207613627437995,False
1minute,2.0,above,1.0,0.5,50046.0,0.0162091866191064,44046.0,0.0169408664440328,0.0007316798249264005,True
1minute,2.0,above,1.5,0.5,48476.0,0.0187118723287383,42803.0,0.0194641031376275,0.0007522308088891982,True
1minute,2.0,below,1.0,0.5,45138.0,0.0030967321854873,36992.0,-0.0006687188770876,-0.0037654510625749,False
1minute,2.0,below,1.5,0.5,43718.0,0.0003052554443544,35917.0,-0.0059913415062615,-0.0062965969506159,False
1minute,3.0,above,1.0,0.5,14325.0,0.0235045838043341,12566.0,0.0226064231460779,-0.0008981606582561981,False
1minute,3.0,above,1.5,0.5,13877.0,0.0404708739543434,12231.0,0.0402905662913811,-0.00018030766296230072,False
1minute,3.0,below,1.0,0.5,10463.0,0.0148322696353764,8428.0,0.006164727795271,-0.0086675418401054,False
1minute,3.0,below,1.5,0.5,10105.0,0.024492477968872,8150.0,0.0092379854680518,-0.0152544925008202,False
1minute,4.0,above,1.0,0.5,4805.0,0.0365374028752096,4174.0,0.0387092571695634,0.002171854294353799,True
1minute,4.0,above,1.5,0.5,4641.0,0.0572012796948738,4054.0,0.0565891197323412,-0.0006121599625325963,False
1minute,4.0,below,1.0,0.5,3177.0,0.0519759731739596,2577.0,0.031622699289969,-0.0203532738839906,False
1minute,4.0,below,1.5,0.5,3057.0,0.0701246421179683,2484.0,0.0437824468400339,-0.026342195277934403,False
5minute,1.5,above,1.0,0.5,65267.0,0.0013363048363561,54291.0,0.0014239819654197,8.767712906360007e-05,True
5minute,1.5,above,1.5,0.5,63765.0,0.0040999708990795,53153.0,0.0033024703888259,-0.0007975005102535998,False
5minute,1.5,below,1.0,0.5,67667.0,-0.0275477794270744,50729.0,-0.0363101430666002,-0.008762363639525799,False
5minute,1.5,below,1.5,0.5,66122.0,-0.0285660108590153,49733.0,-0.0355623048412116,-0.006996293982196304,False
5minute,2.0,above,1.0,0.5,30894.0,-0.0005215957050497,25600.0,-0.0027028217107843,-0.0021812260057346,False
5minute,2.0,above,1.5,0.5,30256.0,0.0062075103339415,25111.0,0.002435461296718,-0.0037720490372235,False
5minute,2.0,below,1.0,0.5,29845.0,-0.0209629426310137,21854.0,-0.0313113515106306,-0.0103484088796169,False
5minute,2.0,below,1.5,0.5,29218.0,-0.0210395806035337,21453.0,-0.0302488117164469,-0.009209231112913198,False
5minute,3.0,above,1.0,0.5,7900.0,-0.0020865887129138,6532.0,-0.0078130636440933,-0.0057264749311795,False
5minute,3.0,above,1.5,0.5,7771.0,0.0215584339127206,6441.0,0.0183025233934984,-0.0032559105192221972,False
5minute,3.0,below,1.0,0.5,6324.0,-0.0092992538609777,4630.0,-0.0204412801562069,-0.011142026295229202,False
5minute,3.0,below,1.5,0.5,6149.0,0.0003739448181778,4507.0,-0.0168991749816739,-0.017273119799851702,False
5minute,4.0,above,1.0,0.5,2486.0,0.0068675713734816,2109.0,0.0045525303505986,-0.0023150410228830005,False
5minute,4.0,above,1.5,0.5,2453.0,0.0485604605868807,2080.0,0.0404013837223096,-0.008159076864571096,False
5minute,4.0,below,1.0,0.5,1792.0,-0.0428756814411299,1352.0,-0.050825977345336,-0.007950295904206095,False
5minute,4.0,below,1.5,0.5,1750.0,-0.0399395707714938,1321.0,-0.0489248353248277,-0.0089852645533339,False
